"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 08 15:10:43 CDT 2019","Mon Jul 08 15:10:53 CDT 2019","9871","All Test Suite","NonLogin_MakePayment_PayWithCards_exceptCards01","iOS_Tests.MakePayment_TestSample","iOS_Tests.MakePayment_TestSample","MakePayment_Amount_ErrorM2","MakePayment_Amount_ErrorM2",""
"failed","Mon Jul 08 15:11:09 CDT 2019","Mon Jul 08 15:11:10 CDT 2019","506","All Test Suite","NonLogin_MakePayment_PayWithCards_exceptCards01","iOS_Tests.MakePayment_TestSample","iOS_Tests.MakePayment_TestSample","MakePayment_Amount_SpecialSign4","MakePayment_Amount_SpecialSign4",""
"passed","Mon Jul 08 15:11:14 CDT 2019","Mon Jul 08 15:11:17 CDT 2019","2722","All Test Suite","NonLogin_MakePayment_PayWithCards_exceptCards01","iOS_Tests.MakePayment_TestSample","iOS_Tests.MakePayment_TestSample","MakePayment_Name_FillAgain","MakePayment_Name_FillAgain",""
"passed","Mon Jul 08 15:11:22 CDT 2019","Mon Jul 08 15:11:24 CDT 2019","2527","All Test Suite","NonLogin_MakePayment_PayWithCards_exceptCards01","iOS_Tests.MakePayment_TestSample","iOS_Tests.MakePayment_TestSample","MakePayment_Zip_Less5Numbers1","MakePayment_Zip_Less5Numbers1",""
"passed","Mon Jul 08 15:10:53 CDT 2019","Mon Jul 08 15:10:54 CDT 2019","821","All Test Suite","NonLogin_MakePayment_PayWithCards_exceptCards01","iOS_Tests.MakePayment_TestSample","iOS_Tests.MakePayment_TestSample","MakePayment_Amount_ContinueDisabled2","MakePayment_Amount_ContinueDisabled2",""
"passed","Mon Jul 08 15:11:10 CDT 2019","Mon Jul 08 15:11:14 CDT 2019","4538","All Test Suite","NonLogin_MakePayment_PayWithCards_exceptCards01","iOS_Tests.MakePayment_TestSample","iOS_Tests.MakePayment_TestSample","MakePayment_Name_Empty","MakePayment_Name_Empty",""
"passed","Mon Jul 08 15:10:32 CDT 2019","Mon Jul 08 15:10:43 CDT 2019","10459","All Test Suite","NonLogin_MakePayment_PayWithCards_exceptCards01","iOS_Tests.MakePayment_TestSample","iOS_Tests.MakePayment_TestSample","MakePayment_Amount_ErrorM1","MakePayment_Amount_ErrorM1",""
"passed","Mon Jul 08 15:10:08 CDT 2019","Mon Jul 08 15:10:09 CDT 2019","1649","All Test Suite","NonLogin_MakePayment_PayWithCards_exceptCards01","iOS_Tests.MakePayment_TestSample","iOS_Tests.MakePayment_TestSample","MakePayment_PayWithCards","MakePayment_PayWithCards","Click Button and select 'Pay with Debit/Credit Card'"
"passed","Mon Jul 08 15:11:24 CDT 2019","Mon Jul 08 15:11:25 CDT 2019","792","All Test Suite","NonLogin_MakePayment_PayWithCards_exceptCards01","iOS_Tests.MakePayment_TestSample","iOS_Tests.MakePayment_TestSample","MakePayment_Zip_Less5Numbers2","MakePayment_Zip_Less5Numbers2",""
"passed","Mon Jul 08 15:11:25 CDT 2019","Mon Jul 08 15:11:29 CDT 2019","3777","All Test Suite","NonLogin_MakePayment_PayWithCards_exceptCards01","iOS_Tests.MakePayment_TestSample","iOS_Tests.MakePayment_TestSample","MakePayment_Cancel","MakePayment_Cancel",""
"passed","Mon Jul 08 15:10:21 CDT 2019","Mon Jul 08 15:10:32 CDT 2019","10942","All Test Suite","NonLogin_MakePayment_PayWithCards_exceptCards01","iOS_Tests.MakePayment_TestSample","iOS_Tests.MakePayment_TestSample","MakePayment_ContinueEnable_Default2","MakePayment_ContinueEnable_Default2",""
"passed","Mon Jul 08 15:10:43 CDT 2019","Mon Jul 08 15:10:43 CDT 2019","827","All Test Suite","NonLogin_MakePayment_PayWithCards_exceptCards01","iOS_Tests.MakePayment_TestSample","iOS_Tests.MakePayment_TestSample","MakePayment_Amount_ContinueDisabled1","MakePayment_Amount_ContinueDisabled1",""
"passed","Mon Jul 08 15:10:17 CDT 2019","Mon Jul 08 15:10:21 CDT 2019","4562","All Test Suite","NonLogin_MakePayment_PayWithCards_exceptCards01","iOS_Tests.MakePayment_TestSample","iOS_Tests.MakePayment_TestSample","MakePayment_MoreInfoIcon","MakePayment_MoreInfoIcon",""
"passed","Mon Jul 08 15:11:07 CDT 2019","Mon Jul 08 15:11:07 CDT 2019","306","All Test Suite","NonLogin_MakePayment_PayWithCards_exceptCards01","iOS_Tests.MakePayment_TestSample","iOS_Tests.MakePayment_TestSample","MakePayment_Amount_SpecialSign2","MakePayment_Amount_SpecialSign2",""
